state,county,geoid
NY,Kings County,36047
NY,Queens County,36081
NY,New York County,36061
NY,Bronx County,36005
NY,Richmond County,36085
NY,Westchester County,36119
NJ,Bergen County,34003
NJ,Hudson County,34017
NJ,Passaic County,34031
NY,Rockland County,36087
NY,Putnam County,36079
NY,Suffolk County,36103
NY,Nassau County,36059
NJ,Middlesex County,34023
NJ,Monmouth County,34025
NJ,Ocean County,34029
NJ,Somerset County,34035
NJ,Essex County,34013
NJ,Union County,34039
NJ,Morris County,34027
NJ,Sussex County,34037
NJ,Hunterdon County,34019
